h3_cell_int,h3_cell_hex,total_requests,completed_trips,no_drivers_count,cancelled_count,friction_rate_pct,avg_passenger_rating
615446140080357375,88a8100eddfffff,874,585,139,150,33.07,4.56
615446140042608639,88a8100eb9fffff,870,595,146,129,31.61,4.56
615446140046802943,88a8100ebdfffff,857,609,123,125,28.94,4.57
615446139321188351,88a8100c09fffff,852,589,123,140,30.87,4.54
615446137488277503,88a8100535fffff,846,602,119,125,28.84,4.56
615446137471500287,88a8100525fffff,841,586,143,112,30.32,4.56
615446139335868415,88a8100c17fffff,841,598,126,117,28.89,4.56
615446139331674111,88a8100c13fffff,838,573,134,131,31.62,4.57
615446140013248511,88a8100e9dfffff,828,565,146,117,31.76,4.56
615446139874836479,88a8100e19fffff,818,580,121,117,29.1,4.59
615446139312799743,88a8100c01fffff,817,562,136,119,31.21,4.57
615446139906293759,88a8100e37fffff,816,557,125,134,31.74,4.56
615446139526709247,88a8100ccdfffff,808,563,108,137,30.32,4.58
615446139522514943,88a8100cc9fffff,808,577,121,110,28.59,4.55
615446140074065919,88a8100ed7fffff,793,550,128,115,30.64,4.57
615446139870642175,88a8100e15fffff,788,556,123,109,29.44,4.57
615446137467305983,88a8100521fffff,784,561,116,107,28.44,4.56
615446140038414335,88a8100eb5fffff,770,537,127,106,30.26,4.55
615446139900002303,88a8100e31fffff,763,537,107,119,29.62,4.55
615446139371519999,88a8100c39fffff,761,528,109,124,30.62,4.56
615446140034220031,88a8100eb1fffff,753,529,108,116,29.75,4.58
615446139382005759,88a8100c43fffff,752,513,114,125,31.78,4.58
615446139319091199,88a8100c07fffff,742,495,117,130,33.29,4.56
615446140004859903,88a8100e95fffff,742,537,99,106,27.63,4.55
615446140067774463,88a8100ed1fffff,738,489,116,133,33.74,4.55
615446137490374655,88a8100537fffff,723,507,102,114,29.88,4.55
615446137477791743,88a810052bfffff,717,471,120,126,34.31,4.6
615446137496666111,88a810053dfffff,716,482,120,114,32.68,4.56
615446139373617151,88a8100c3bfffff,712,517,94,101,27.39,4.58
615446139935653887,88a8100e53fffff,694,482,118,94,30.55,4.57
615446137479888895,88a810052dfffff,690,478,106,106,30.72,4.56
615446139556069375,88a8100ce9fffff,670,464,99,107,30.75,4.59
615446139390394367,88a8100c4bfffff,668,455,112,101,31.89,4.58
615446140044705791,88a8100ebbfffff,668,467,107,94,30.09,4.58
615446139879030783,88a8100e1dfffff,664,464,107,93,30.12,4.58
615446139316994047,88a8100c05fffff,663,459,110,94,30.77,4.57
615446137475694591,88a8100529fffff,662,461,102,99,30.36,4.55
615446139518320639,88a8100cc5fffff,656,465,88,103,29.12,4.56
615446139908390911,88a8100e39fffff,650,482,88,80,25.85,4.55
615446137484083199,88a8100531fffff,641,443,92,106,30.89,4.56
615446139560263679,88a8100cedfffff,638,442,102,94,30.72,4.55
615446139325382655,88a8100c0dfffff,635,452,98,85,28.82,4.55
615446140000665599,88a8100e91fffff,629,434,107,88,31.0,4.56
615446139363131391,88a8100c31fffff,620,445,91,84,28.23,4.57
615446139939848191,88a8100e57fffff,619,443,79,97,28.43,4.55
615446139386200063,88a8100c47fffff,618,421,107,90,31.88,4.57
615446140069871615,88a8100ed3fffff,602,419,101,82,30.4,4.55
615446140076163071,88a8100ed9fffff,594,414,87,93,30.3,4.57
615446139379908607,88a8100c41fffff,587,388,104,95,33.9,4.54
615446139375714303,88a8100c3dfffff,582,407,78,97,30.07,4.56
615446139904196607,88a8100e35fffff,578,402,88,88,30.45,4.56
615446137540706303,88a8100567fffff,575,400,88,87,30.43,4.56
615446140009054207,88a8100e99fffff,568,403,85,80,29.05,4.55
615446139524612095,88a8100ccbfffff,565,400,93,72,29.2,4.58
615446139851767807,88a8100e03fffff,564,380,97,87,32.62,4.56
615446139365228543,88a8100c33fffff,563,381,87,95,32.33,4.57
615446139944042495,88a8100e5bfffff,549,385,92,72,29.87,4.55
615446137440043007,88a8100507fffff,549,385,81,83,29.87,4.57
615446139514126335,88a8100cc1fffff,546,392,75,79,28.21,4.54
615446140006957055,88a8100e97fffff,540,374,85,81,30.74,4.58
615446140040511487,88a8100eb7fffff,528,381,73,74,27.84,4.55
615446137437945855,88a8100505fffff,513,370,77,66,27.88,4.58
615446139356839935,88a8100c2bfffff,503,354,69,80,29.62,4.55
615446139860156415,88a8100e0bfffff,498,356,72,70,28.51,4.58
615446137536511999,88a8100563fffff,495,334,76,85,32.53,4.57
615446140078260223,88a8100edbfffff,494,330,60,104,33.2,4.57
615446137492471807,88a8100539fffff,489,355,69,65,27.4,4.53
615446137486180351,88a8100533fffff,489,337,69,83,31.08,4.59
615446139547680767,88a8100ce1fffff,486,343,74,69,29.42,4.57
615446140036317183,88a8100eb3fffff,480,327,67,86,31.88,4.58
615446140011151359,88a8100e9bfffff,478,334,72,72,30.13,4.59
615446139933556735,88a8100e51fffff,471,327,72,72,30.57,4.57
615446139367325695,88a8100c35fffff,471,339,68,64,28.03,4.55
615446139558166527,88a8100cebfffff,470,337,66,67,28.3,4.55
615446139912585215,88a8100e3dfffff,468,324,78,66,30.77,4.56
615446152042512383,88a8103b6dfffff,455,317,57,81,30.33,4.53
615446139369422847,88a8100c37fffff,448,305,74,69,31.92,4.61
615446139937751039,88a8100e55fffff,437,305,68,64,30.21,4.57
615446139415560191,88a8100c63fffff,432,305,58,69,29.4,4.57
615446139388297215,88a8100c49fffff,431,299,63,69,30.63,4.58
615446137672826879,88a81005e5fffff,429,278,78,73,35.2,4.57
615446139551875071,88a8100ce5fffff,425,295,63,67,30.59,4.57
615446139516223487,88a8100cc3fffff,425,280,69,76,34.12,4.55
615446137605718015,88a81005a5fffff,416,283,66,67,31.97,4.59
615446139384102911,88a8100c45fffff,415,302,56,57,27.23,4.57
615446139423948799,88a8100c6bfffff,414,306,62,46,26.09,4.56
615446139855962111,88a8100e07fffff,413,265,72,76,35.84,4.51
615446139348451327,88a8100c23fffff,412,277,62,73,32.77,4.59
615446139354742783,88a8100c29fffff,405,302,49,54,25.43,4.58
615446139520417791,88a8100cc7fffff,405,282,64,59,30.37,4.57
615446137534414847,88a8100561fffff,397,285,49,63,28.21,4.56
615446137433751551,88a8100501fffff,397,286,60,51,27.96,4.57
615446137494568959,88a810053bfffff,395,280,64,51,29.11,4.56
615446139543486463,88a8100cddfffff,394,261,66,67,33.76,4.57
615446139885322239,88a8100e23fffff,392,289,49,54,26.28,4.55
615446139790950399,88a8100dc9fffff,380,259,67,54,31.84,4.57
615446152038318079,88a8103b69fffff,378,257,68,53,32.01,4.56
615446139941945343,88a8100e59fffff,375,249,58,68,33.6,4.55
615446139539292159,88a8100cd9fffff,374,252,54,68,32.62,4.59
615446137538609151,88a8100565fffff,373,256,59,58,31.37,4.56
615446137614106623,88a81005adfffff,373,263,60,50,29.49,4.52
615446140002762751,88a8100e93fffff,370,261,57,52,29.46,4.55
615446137446334463,88a810050dfffff,369,252,56,61,31.71,4.55
615446139346354175,88a8100c21fffff,365,252,47,66,30.96,4.6
615446152034123775,88a8103b65fffff,364,260,57,47,28.57,4.57
615446137435848703,88a8100503fffff,361,250,45,66,30.75,4.57
615446139807727615,88a8100dd9fffff,354,256,50,48,27.68,4.56
615446139849670655,88a8100e01fffff,339,240,45,54,29.2,4.59
615446139392491519,88a8100c4dfffff,334,229,52,53,31.44,4.56
615446139553972223,88a8100ce7fffff,333,242,49,42,27.33,4.6
615446152029929471,88a8103b61fffff,332,227,47,58,31.63,4.53
615446139946139647,88a8100e5dfffff,327,224,45,58,31.5,4.54
615446137544900607,88a810056bfffff,327,232,48,47,29.05,4.54
615446137454723071,88a8100515fffff,327,219,45,63,33.03,4.54
615446139811921919,88a8100dddfffff,326,210,52,64,35.58,4.55
615446139793047551,88a8100dcbfffff,323,231,52,40,28.48,4.53
615446137681215487,88a81005edfffff,315,224,46,45,28.89,4.56
615446139858059263,88a8100e09fffff,313,206,53,54,34.19,4.53
615446139549777919,88a8100ce3fffff,311,210,47,54,32.48,4.61
615446139459600383,88a8100c8dfffff,310,228,29,53,26.45,4.6
615446137546997759,88a810056dfffff,306,208,52,46,32.03,4.56
615446139413463039,88a8100c61fffff,301,207,47,47,31.23,4.56
615446152008957951,88a8103b4dfffff,299,221,48,30,26.09,4.59
615446137674924031,88a81005e7fffff,298,213,43,42,28.52,4.57
615446152000569343,88a8103b45fffff,292,198,53,41,32.19,4.56
615446139419754495,88a8100c67fffff,292,205,42,45,29.79,4.54
615446139352645631,88a8100c27fffff,291,207,43,41,28.87,4.61
615446137607815167,88a81005a7fffff,289,204,45,40,29.41,4.55
615446139421851647,88a8100c69fffff,284,190,53,41,33.1,4.6
615446139893710847,88a8100e2bfffff,282,198,41,43,29.79,4.6
615446137442140159,88a8100509fffff,281,198,36,47,29.54,4.57
615446139358937087,88a8100c2dfffff,277,198,36,43,28.52,4.57
615446139809824767,88a8100ddbfffff,267,183,35,49,31.46,4.59
615446139853864959,88a8100e05fffff,266,174,42,50,34.59,4.56
615446139535097855,88a8100cd5fffff,261,174,41,46,33.33,4.54
615446137444237311,88a810050bfffff,260,178,48,34,31.54,4.53
615446139455406079,88a8100c89fffff,258,177,42,39,31.4,4.55
615446136278220799,88a81000b3fffff,254,185,35,34,27.17,4.59
615446137542803455,88a8100569fffff,248,176,44,28,29.03,4.6
615446139541389311,88a8100cdbfffff,246,175,31,40,28.86,4.58
615446139889516543,88a8100e27fffff,244,170,43,31,30.33,4.56
615446137456820223,88a8100517fffff,241,160,35,46,33.61,4.56
615446139530903551,88a8100cd1fffff,237,160,38,39,32.49,4.59
615446152036220927,88a8103b67fffff,236,166,43,27,29.66,4.55
615446137601523711,88a81005a1fffff,234,157,33,44,32.91,4.55
615446136282415103,88a81000b7fffff,231,158,37,36,31.6,4.53
615446152040415231,88a8103b6bfffff,229,159,38,32,30.57,4.58
615446139782561791,88a8100dc1fffff,225,161,34,30,28.44,4.55
615446137507151871,88a8100547fffff,225,145,43,37,35.56,4.56
615446139799339007,88a8100dd1fffff,223,155,31,37,30.49,4.56
615446139918876671,88a8100e43fffff,221,163,34,24,26.24,4.54
615446137668632575,88a81005e1fffff,221,149,43,29,32.58,4.6
615446139488960511,88a8100ca9fffff,219,163,26,30,25.57,4.62
615446137609912319,88a81005a9fffff,218,157,32,29,27.98,4.59
615446139784658943,88a8100dc3fffff,213,140,45,28,34.27,4.55
615446139451211775,88a8100c85fffff,212,149,33,30,29.72,4.52
615446139350548479,88a8100c25fffff,207,152,29,26,26.57,4.53
615446140136980479,88a8100f13fffff,207,156,29,22,24.64,4.53
615446139883225087,88a8100e21fffff,207,151,27,29,27.05,4.58
615446137463111679,88a810051dfffff,205,158,27,20,22.93,4.59
615446140145369087,88a8100f1bfffff,200,129,32,39,35.5,4.55
615446139493154815,88a8100cadfffff,199,145,24,30,27.14,4.54
615446139795144703,88a8100dcdfffff,193,134,29,30,30.57,4.56
615446137505054719,88a8100545fffff,191,140,32,19,26.7,4.56
615446139803533311,88a8100dd5fffff,189,128,29,32,32.28,4.61
615446139927265279,88a8100e4bfffff,185,136,27,22,26.49,4.52
615446139862253567,88a8100e0dfffff,183,129,25,29,29.51,4.51
615446139457503231,88a8100c8bfffff,183,141,23,19,22.95,4.61
615446139447017471,88a8100c81fffff,177,123,25,29,30.51,4.54
615446139675607039,88a8100d5bfffff,176,133,21,22,24.43,4.5
615446137450528767,88a8100511fffff,176,130,23,23,26.14,4.59
615446139426045951,88a8100c6dfffff,176,117,28,31,33.52,4.58
615446137677021183,88a81005e9fffff,175,124,24,27,29.14,4.55
615446139891613695,88a8100e29fffff,171,124,28,19,27.49,4.62
615446139805630463,88a8100dd7fffff,170,114,26,30,32.94,4.63
615446136248860671,88a8100097fffff,170,119,22,29,30.0,4.6
615446139533000703,88a8100cd3fffff,169,110,31,28,34.91,4.64
615446152032026623,88a8103b63fffff,167,122,22,23,26.95,4.6
615446136286609407,88a81000bbfffff,166,112,28,26,32.53,4.49
615446139537195007,88a8100cd7fffff,166,119,27,20,28.31,4.61
615446139801436159,88a8100dd3fffff,163,107,25,31,34.36,4.58
615446151996375039,88a8103b41fffff,162,109,27,26,32.72,4.62
615446139417657343,88a8100c65fffff,161,112,22,27,30.43,4.58
615446136276123647,88a81000b1fffff,160,115,15,30,28.13,4.63
615446139923070975,88a8100e47fffff,159,117,24,18,26.42,4.52
615446139608498175,88a8100d1bfffff,157,106,23,28,32.48,4.57
615446152002666495,88a8103b47fffff,156,119,15,22,23.72,4.61
615446137500860415,88a8100541fffff,155,106,25,24,31.61,4.53
615446139667218431,88a8100d53fffff,154,99,28,27,35.71,4.54
615446137521831935,88a8100555fffff,151,99,23,29,34.44,4.56
615446137502957567,88a8100543fffff,149,104,22,23,30.2,4.54
615446137670729727,88a81005e3fffff,148,97,29,22,34.46,4.57
615446139788853247,88a8100dc7fffff,147,112,24,11,23.81,4.54
615446152004763647,88a8103b49fffff,145,89,22,34,38.62,4.55
615446137603620863,88a81005a3fffff,144,99,29,16,31.25,4.49
615446136244666367,88a8100093fffff,143,97,20,26,32.17,4.57
615446139952431103,88a8100e63fffff,143,91,20,32,36.36,4.57
615446140141174783,88a8100f17fffff,138,82,24,32,40.58,4.61
615446151975403519,88a8103b2dfffff,134,96,15,23,28.36,4.49
615446139723841535,88a8100d89fffff,133,85,22,26,36.09,4.6
615446140134883327,88a8100f11fffff,133,94,18,21,29.32,4.57
615446139887419391,88a8100e25fffff,131,88,18,25,32.82,4.55
615446151941849087,88a8103b0dfffff,130,85,23,22,34.62,4.61
615446139786756095,88a8100dc5fffff,129,87,23,19,32.56,4.54
615446137523929087,88a8100557fffff,129,96,22,11,25.58,4.59
615446151971209215,88a8103b29fffff,127,88,30,9,30.71,4.55
615446139606401023,88a8100d19fffff,127,90,23,14,29.13,4.49
615446137612009471,88a81005abfffff,126,94,17,15,25.4,4.6
615446139480571903,88a8100ca1fffff,126,92,14,20,26.98,4.54
615446137513443327,88a810054dfffff,126,95,17,14,24.6,4.56
615446136280317951,88a81000b5fffff,119,85,16,18,28.57,4.56
615446139600109567,88a8100d13fffff,117,80,22,15,31.62,4.47
615446137452625919,88a8100513fffff,115,78,19,18,32.17,4.62
615446137458917375,88a8100519fffff,115,84,14,17,26.96,4.64
615446139491057663,88a8100cabfffff,115,76,18,21,33.91,4.54
615446136284512255,88a81000b9fffff,114,80,19,15,29.82,4.55
615446139895807999,88a8100e2dfffff,113,76,22,15,32.74,4.54
615446136246763519,88a8100095fffff,111,79,15,17,28.83,4.47
615446139449114623,88a8100c83fffff,108,82,12,14,24.07,4.57
615446136242569215,88a8100091fffff,107,69,12,26,35.51,4.54
615446139453308927,88a8100c87fffff,107,64,20,23,40.19,4.51
615446137622495231,88a81005b5fffff,107,70,22,15,34.58,4.54
615446139916779519,88a8100e41fffff,106,77,13,16,27.36,4.56
615446137679118335,88a81005ebfffff,106,75,18,13,29.25,4.64
615446139960819711,88a8100e6bfffff,104,70,18,16,32.69,4.64
615446140170534911,88a8100f33fffff,103,75,13,15,27.18,4.53
615446139484766207,88a8100ca5fffff,103,79,12,12,23.3,4.61
615446137511346175,88a810054bfffff,101,72,16,13,28.71,4.54
615446140178923519,88a8100f3bfffff,100,76,12,12,24.0,4.57
615446139740618751,88a8100d99fffff,100,74,14,12,26.0,4.6
615446137461014527,88a810051bfffff,98,67,12,19,31.63,4.6
615446136253054975,88a810009bfffff,97,60,24,13,38.14,4.56
615446137639272447,88a81005c5fffff,97,60,13,24,38.14,4.51
615446139665121279,88a8100d51fffff,97,66,17,14,31.96,4.55
615446139925168127,88a8100e49fffff,96,73,14,9,23.96,4.52
615446139725938687,88a8100d8bfffff,95,64,16,15,32.63,4.62
615446137530220543,88a810055dfffff,95,62,16,17,34.74,4.53
615446139826601983,88a8100debfffff,95,67,16,12,29.47,4.64
615446139472183295,88a8100c99fffff,94,68,15,11,27.66,4.57
615446139673509887,88a8100d59fffff,90,62,14,14,31.11,4.5
615446140143271935,88a8100f19fffff,90,68,11,11,24.44,4.54
615446152006860799,88a8103b4bfffff,88,66,13,9,25.0,4.51
615446151998472191,88a8103b43fffff,86,56,17,13,34.88,4.53
615446137572163583,88a8100585fffff,86,59,12,15,31.4,4.47
615446151962820607,88a8103b21fffff,86,62,13,11,27.91,4.57
615446139476377599,88a8100c9dfffff,86,59,12,15,31.4,4.6
615446151933460479,88a8103b05fffff,84,66,7,11,21.43,4.54
615446137517637631,88a8100551fffff,83,59,13,11,28.92,4.57
615446151967014911,88a8103b25fffff,83,64,7,12,22.89,4.62
615446136288706559,88a81000bdfffff,81,55,14,12,32.1,4.58
615446137509249023,88a8100549fffff,80,56,11,13,30.0,4.62
615446137519734783,88a8100553fffff,80,53,12,15,33.75,4.61
615446151937654783,88a8103b09fffff,79,54,12,13,31.65,4.57
615446137630883839,88a81005bdfffff,76,54,14,8,28.95,4.51
615446139742715903,88a8100d9bfffff,74,54,10,10,27.03,4.59
615446139956625407,88a8100e67fffff,74,46,15,13,37.84,4.56
615446139744813055,88a8100d9dfffff,73,59,7,7,19.18,4.53
615446139920973823,88a8100e45fffff,73,55,6,12,24.66,4.52
615446137203064831,88a8100425fffff,70,47,12,11,32.86,4.6
615446139598012415,88a8100d11fffff,69,49,10,10,28.99,4.52
615446137580552191,88a810058dfffff,69,46,10,13,33.33,4.55
615446139715452927,88a8100d81fffff,68,47,10,11,30.88,4.54
615446140139077631,88a8100f15fffff,68,53,8,7,22.06,4.59
615446139728035839,88a8100d8dfffff,68,50,12,6,26.47,4.55
615446151929266175,88a8103b01fffff,67,46,12,9,31.34,4.48
615446136261443583,88a81000a3fffff,67,46,10,11,31.34,4.61
615446139482669055,88a8100ca3fffff,65,48,10,7,26.15,4.63
615446139463794687,88a8100c91fffff,65,50,7,8,23.08,4.57
615446136232083455,88a8100087fffff,65,52,6,7,20.0,4.55
615446139950333951,88a8100e61fffff,65,44,8,13,32.31,4.53
615446139509932031,88a8100cbdfffff,64,48,8,8,25.0,4.61
615446137574260735,88a8100587fffff,64,46,4,14,28.13,4.48
615446140204089343,88a8100f53fffff,63,46,9,8,26.98,4.63
615446139824504831,88a8100de9fffff,63,47,4,12,25.4,4.53
615446139671412735,88a8100d57fffff,62,36,11,15,41.94,4.6
615446139929362431,88a8100e4dfffff,60,33,11,16,45.0,4.6
615446140147466239,88a8100f1dfffff,60,40,11,9,33.33,4.59
615446139604303871,88a8100d17fffff,59,41,12,6,30.51,4.61
615446139486863359,88a8100ca7fffff,58,40,6,12,31.03,4.57
615446152025735167,88a8103b5dfffff,57,43,6,8,24.56,4.57
615446136227889151,88a8100083fffff,57,39,11,7,31.58,4.56
615446136250957823,88a8100099fffff,57,37,12,8,35.09,4.61
615446138010468351,88a8100727fffff,57,46,8,3,19.3,4.52
615446139467988991,88a8100c95fffff,54,38,9,7,29.63,4.53
615446139732230143,88a8100d91fffff,54,36,10,8,33.33,4.65
615446137641369599,88a81005c7fffff,54,36,5,13,33.33,4.56
615446140212477951,88a8100f5bfffff,54,36,10,8,33.33,4.66
615446137624592383,88a81005b7fffff,53,40,8,5,24.53,4.5
615446151969112063,88a8103b27fffff,53,39,9,5,26.42,4.58
615446137647661055,88a81005cdfffff,52,39,6,7,25.0,4.52
615446139610595327,88a8100d1dfffff,50,39,5,6,22.0,4.63
615446151973306367,88a8103b2bfffff,50,35,9,6,30.0,4.64
615446137618300927,88a81005b1fffff,50,35,8,7,30.0,4.61
615446139505737727,88a8100cb9fffff,49,34,7,8,30.61,4.56
615446137567969279,88a8100581fffff,49,35,6,8,28.57,4.55
615446140168437759,88a8100f31fffff,49,34,8,7,30.61,4.51
615446139719647231,88a8100d85fffff,48,38,5,5,20.83,4.54
615446152017346559,88a8103b55fffff,48,34,7,7,29.17,4.45
615446137528123391,88a810055bfffff,48,34,2,12,29.17,4.52
615446138027245567,88a8100737fffff,47,30,8,9,36.17,4.5
615446136269832191,88a81000abfffff,47,44,1,2,6.38,4.55
615446151935557631,88a8103b07fffff,47,32,7,8,31.91,4.62
615446139717550079,88a8100d83fffff,46,32,10,4,30.43,4.53
615446140174729215,88a8100f37fffff,46,32,6,8,30.43,4.57
615446137526026239,88a8100559fffff,46,29,11,6,36.96,4.57
615446138006274047,88a8100723fffff,46,32,5,9,30.43,4.56
615446138004176895,88a8100721fffff,45,31,7,7,31.11,4.64
615446139669315583,88a8100d55fffff,43,28,8,7,34.88,4.54
615446139677704191,88a8100d5dfffff,43,28,8,7,34.88,4.58
615446138008371199,88a8100725fffff,42,30,9,3,28.57,4.62
615446136255152127,88a810009dfffff,42,30,6,6,28.57,4.53
615446139958722559,88a8100e69fffff,41,27,6,8,34.15,4.56
615446137205161983,88a8100427fffff,41,32,4,5,21.95,4.61
615446139721744383,88a8100d87fffff,40,27,7,6,32.5,4.74
615446138025148415,88a8100735fffff,39,28,6,5,28.21,4.6
615446140208283647,88a8100f57fffff,39,23,7,9,41.03,4.7
615446139818213375,88a8100de3fffff,39,30,5,4,23.08,4.61
615446139474280447,88a8100c9bfffff,39,19,13,7,51.28,4.65
615446139734327295,88a8100d93fffff,39,29,4,6,25.64,4.69
615446139736424447,88a8100d95fffff,38,26,9,3,31.58,4.62
615446136265637887,88a81000a7fffff,37,29,3,5,21.62,4.6
615446151939751935,88a8103b0bfffff,35,27,4,4,22.86,4.55
615446151964917759,88a8103b23fffff,34,20,5,9,41.18,4.56
615446137635078143,88a81005c1fffff,33,26,6,1,21.21,4.58
615446139602206719,88a8100d15fffff,33,21,5,7,36.36,4.52
615446139501543423,88a8100cb5fffff,33,20,9,4,39.39,4.6
615446136229986303,88a8100085fffff,32,26,2,4,18.75,4.61
615446137576357887,88a8100589fffff,32,25,2,5,21.88,4.54
615446139465891839,88a8100c93fffff,32,23,5,4,28.13,4.6
615446140176826367,88a8100f39fffff,32,25,3,4,21.88,4.51
615446136236277759,88a810008bfffff,32,23,2,7,28.13,4.66
615446139642052607,88a8100d3bfffff,31,19,5,7,38.71,4.71
615446137211453439,88a810042dfffff,31,22,6,3,29.03,4.61
615446136521490431,88a810019bfffff,31,25,4,2,19.35,4.61
615446167842455551,88a8107649fffff,30,21,7,2,30.0,4.55
615446139954528255,88a8100e65fffff,30,26,1,3,13.33,4.61
615446136513101823,88a8100193fffff,30,21,4,5,30.0,4.65
615446139816116223,88a8100de1fffff,29,22,4,3,24.14,4.59
615446152021540863,88a8103b59fffff,29,19,4,6,34.48,4.49
615446140120203263,88a8100f03fffff,29,18,6,5,37.93,4.67
615446151992180735,88a8103b3dfffff,28,24,3,1,14.29,4.54
615446137626689535,88a81005b9fffff,28,20,3,5,28.57,4.67
615446139497349119,88a8100cb1fffff,28,16,5,7,42.86,4.34
615446139962916863,88a8100e6dfffff,27,18,3,6,33.33,4.61
615446140201992191,88a8100f51fffff,26,21,4,1,19.23,4.67
615446139583332351,88a8100d03fffff,26,16,7,3,38.46,4.61
615446139759493119,88a8100dabfffff,26,23,3,0,11.54,4.61
615446140181020671,88a8100f3dfffff,25,16,3,6,36.0,4.66
615446138023051263,88a8100733fffff,25,14,9,2,44.0,4.58
615446139507834879,88a8100cbbfffff,25,20,2,3,20.0,4.71
615446136259346431,88a81000a1fffff,25,18,3,4,28.0,4.61
615446167846649855,88a810764dfffff,25,14,3,8,44.0,4.58
615446136315969535,88a81000d7fffff,24,18,0,6,25.0,4.6
615446138033537023,88a810073dfffff,24,18,0,6,25.0,4.49
615446139591720959,88a8100d0bfffff,24,21,3,0,12.5,4.51
615446139828699135,88a8100dedfffff,24,21,1,2,12.5,4.58
615446151472087039,88a810394dfffff,24,21,1,2,12.5,4.61
615446137570066431,88a8100583fffff,23,14,4,5,39.13,4.49
615446151931363327,88a8103b03fffff,23,16,5,2,30.43,4.46
615446136311775231,88a81000d3fffff,22,12,6,4,45.45,4.56
615446137620398079,88a81005b3fffff,22,14,3,5,36.36,4.51
615446139822407679,88a8100de7fffff,22,19,1,2,13.64,4.65
615446137637175295,88a81005c3fffff,22,12,4,6,45.45,4.57
615446151983792127,88a8103b35fffff,22,18,0,4,18.18,4.68
615446152013152255,88a8103b51fffff,22,13,3,6,40.91,4.62
615446140172632063,88a8100f35fffff,22,14,5,3,36.36,4.6
615446140128591871,88a8100f0bfffff,21,12,6,3,42.86,4.58
